事件 ID	选项 ID	类型	轨道	年龄／人物／状态前置	选择前共同事实	分支后新增事实	实际效果	延迟后果	卡牌互动	敏感表达标签	人工结论
secret_01		familySecret	origin	年龄 35 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	催款单上的本金比家里一直说的多，借款人确实是父母一方。	催款单上的本金比家里一直说的多，借款人确实是父母一方。	[{"type":"add","target":"originHousehold.debt","value":25000},{"type":"add","target":"pressures.family","value":6},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:1"}]	无	无	人物	三代理混排复核完成；已发现项已修正
secret_02		familySecret	origin	年龄 28 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	合同里写着连带责任，但眼下还没有发生追偿。	合同里写着连带责任，但眼下还没有发生追偿。	[{"type":"add","target":"pressures.family","value":4},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:2"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_03		familySecret	origin	年龄 18 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	旧录取通知和退学材料夹在一起，当年不是主动放弃。	旧录取通知和退学材料夹在一起，当年不是主动放弃。	[{"type":"add","target":"development.routeKnowledge","value":4},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:3"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_04		familySecret	origin	年龄 32 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	付款收据存在，登记姓名却不是家里任何一个人。	付款收据存在，登记姓名却不是家里任何一个人。	[{"type":"add","target":"pressures.family","value":5},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:4"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_05		familySecret	origin	年龄 22 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	那几年所谓的出差，其实是零工和一次次面试。	那几年所谓的出差，其实是零工和一次次面试。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:5"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_06		familySecret	origin	年龄 30 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	病历能提醒你复查，却不能替任何人下诊断。	病历能提醒你复查，却不能替任何人下诊断。	[{"type":"add","target":"pressures.body","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:6"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_07		familySecret	origin	年龄 24 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	两本账记的是同一段日子，缺口来自谁承担了哪些开销。	两本账记的是同一段日子，缺口来自谁承担了哪些开销。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:7"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_08		familySecret	origin	年龄 25 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	保单有退保损失和受益人，不是随取随用的存款。	保单有退保损失和受益人，不是随取随用的存款。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:8"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_09		familySecret	origin	年龄 20 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	来信只说有人曾登记询问，现有材料还不能确认新的亲属关系。	来信只说有人曾登记询问，现有材料还不能确认新的亲属关系。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:9"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_10		familySecret	origin	年龄 27 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	转账和票据都在，但对方从未承诺何时归还。	转账和票据都在，但对方从未承诺何时归还。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:10"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_11		familySecret	origin	年龄 21 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	收款额看着不少，扣去进货和房租后只剩很薄一层。	收款额看着不少，扣去进货和房租后只剩很薄一层。	[{"type":"add","target":"pressures.family","value":4},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:11"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_12		familySecret	origin	年龄 26 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	两地租房和交通记录把那段沉默的时间标了出来。	两地租房和交通记录把那段沉默的时间标了出来。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:12"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_13		familySecret	origin	年龄 29 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	借条还在，约定日期已经过去，欠款人也没有继续确认。	借条还在，约定日期已经过去，欠款人也没有继续确认。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:13"}]	无	无	住房债务	三代理混排复核完成；已发现项已修正
secret_14		familySecret	origin	年龄 31 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	仓库里的机器仍属家里，转卖价值远低于原合同价格。	仓库里的机器仍属家里，转卖价值远低于原合同价格。	[{"type":"add","target":"pressures.family","value":4},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:14"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_15		familySecret	origin	年龄 18 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	存取记录能算清一部分去向，剩下的不能再含糊成保管。	存取记录能算清一部分去向，剩下的不能再含糊成保管。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:15"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_16		familySecret	origin	年龄 40 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	断缴月份一目了然，未来待遇需要按真实记录重算。	断缴月份一目了然，未来待遇需要按真实记录重算。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:16"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_17		familySecret	origin	年龄 23 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	调动函是真的，放弃原因却同时写着照护和住房。	调动函是真的，放弃原因却同时写着照护和住房。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:17"}]	无	无	住房债务、健康照护	三代理混排复核完成；已发现项已修正
secret_18		familySecret	origin	年龄 36 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	登记、付款和实际居住不是同一个人，房子不能当成可随时出售的资产。	登记、付款和实际居住不是同一个人，房子不能当成可随时出售的资产。	[{"type":"add","target":"pressures.family","value":5},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:18"}]	无	无	住房债务	三代理混排复核完成；已发现项已修正
secret_19		familySecret	origin	年龄 19 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	处方记录解释了用药用途，也提醒家里别再代为停药。	处方记录解释了用药用途，也提醒家里别再代为停药。	[{"type":"add","target":"pressures.body","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:19"}]	无	无	健康照护	三代理混排复核完成；已发现项已修正
secret_20		familySecret	origin	年龄 20 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	复诊记录和请假单留下的是一次反复恢复的过程。	复诊记录和请假单留下的是一次反复恢复的过程。	[{"type":"add","target":"pressures.body","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:20"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_21		familySecret	origin	年龄 30 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	还款从家里账户扣，车辆登记却不在父母名下。	还款从家里账户扣，车辆登记却不在父母名下。	[{"type":"add","target":"originHousehold.debt","value":25000},{"type":"add","target":"pressures.family","value":6},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:21"}]	无	无	人物	三代理混排复核完成；已发现项已修正
secret_22		familySecret	origin	年龄 17 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	学校盖章和报到期限都是真的，家里当年没有把选择交给她。	学校盖章和报到期限都是真的，家里当年没有把选择交给她。	[{"type":"add","target":"development.routeKnowledge","value":4},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:22"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_23		familySecret	origin	年龄 25 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	零散转账累积成一笔不小的支出，照护从来不是免费的。	零散转账累积成一笔不小的支出，照护从来不是免费的。	[{"type":"add","target":"pressures.family","value":4},{"type":"add","target":"relationships.originBond","value":2},{"type":"tag","target":"history","value":"secret:23"}]	无	无	健康照护	三代理混排复核完成；已发现项已修正
secret_24		familySecret	origin	年龄 18 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	账户用途写得明确，这笔钱不属于你的个人缓冲。	账户用途写得明确，这笔钱不属于你的个人缓冲。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:24"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_25		familySecret	origin	年龄 21 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	未签字的草稿列着住处和抚养安排，但婚姻当时并未因此自动结束。	未签字的草稿列着住处和抚养安排，但婚姻当时并未因此自动结束。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":-1},{"type":"tag","target":"history","value":"secret:25"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_26		familySecret	origin	年龄 33 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	结算单写清用途，其中一部分已经用于后续治疗。	结算单写清用途，其中一部分已经用于后续治疗。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:26"}]	无	无	健康照护	三代理混排复核完成；已发现项已修正
secret_27		familySecret	origin	年龄 16 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	信封上的数目不大，是为停工或看病留下的应急钱。	信封上的数目不大，是为停工或看病留下的应急钱。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:27"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_28		familySecret	origin	年龄 37 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	注销材料没有抹掉供应商和服务费的尾款。	注销材料没有抹掉供应商和服务费的尾款。	[{"type":"add","target":"originHousehold.debt","value":32000},{"type":"add","target":"pressures.family","value":7},{"type":"tag","target":"history","value":"secret:28"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_29		familySecret	origin	年龄 26 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	其中一部分来自借款，不是无条件赠与你的现金。	其中一部分来自借款，不是无条件赠与你的现金。	[{"type":"add","target":"originHousehold.debt","value":25000},{"type":"add","target":"pressures.family","value":6},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:29"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_30		familySecret	origin	年龄 45 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	资格跟成员身份绑定，口头承诺不能把它变成个人遗产。	资格跟成员身份绑定，口头承诺不能把它变成个人遗产。	[{"type":"add","target":"pressures.family","value":5},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:30"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_31		familySecret	origin	年龄 19 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	几笔稳定小额转账填上了日常账本里长期存在的缺口。	几笔稳定小额转账填上了日常账本里长期存在的缺口。	[{"type":"add","target":"pressures.family","value":3},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:31"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_32		familySecret	origin	年龄 34 起；人物 []；门槛 {"all":[{"path":"originHousehold.assets","op":"gte","value":1}],"any":[],"none":[]}	受益人姓名与家里理解的不一致，需要由投保人依法更正。	受益人姓名与家里理解的不一致，需要由投保人依法更正。	[{"type":"add","target":"pressures.family","value":2},{"type":"add","target":"relationships.originBond","value":1},{"type":"tag","target":"history","value":"secret:32"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_33		familySecret	origin	年龄 23 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	收款账户属于个人，材料里没有受监管产品应有的信息。	收款账户属于个人，材料里没有受监管产品应有的信息。	[{"type":"add","target":"originHousehold.debt","value":12000},{"type":"add","target":"pressures.family","value":6},{"type":"tag","target":"history","value":"secret:33"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_34		familySecret	origin	年龄 24 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	最低还款持续了很久，余额并没有随着每月付款真正消失。	最低还款持续了很久，余额并没有随着每月付款真正消失。	[{"type":"add","target":"originHousehold.debt","value":25000},{"type":"add","target":"pressures.family","value":6},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:34"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_35		familySecret	origin	年龄 42 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	产权存在，但欠费、空置和维修让它不能等同于现金。	产权存在，但欠费、空置和维修让它不能等同于现金。	[{"type":"add","target":"pressures.family","value":5},{"type":"add","target":"relationships.originBond","value":-2},{"type":"tag","target":"history","value":"secret:35"}]	无	无	无	三代理混排复核完成；已发现项已修正
secret_36		familySecret	origin	年龄 38 起；人物 []；门槛 {"all":[],"any":[],"none":[]}	评估写清了哪些日常需要帮助，也写清了仍能自己做的事。	评估写清了哪些日常需要帮助，也写清了仍能自己做的事。	[{"type":"add","target":"pressures.family","value":4},{"type":"add","target":"relationships.originBond","value":2},{"type":"tag","target":"history","value":"secret:36"}]	无	无	无	三代理混排复核完成；已发现项已修正
